"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"4121 College and other vocational instructors","1,180","68,000","63,500"
"41210 College and other vocational instructors","1,180","68,000","63,500"
"4122 Secondary, elementary and kindergarten school teachers","6,275","79,000","69,600"
"41220 Secondary school teachers","1,925","81,000","71,800"
"41221 Elementary school and kindergarten teachers","4,350","77,000","68,600"
"413 Professional occupations in social and community services","2,715","73,000","65,700"
"4130 Social and community service professionals","2,080","72,500","63,600"
"41300 Social workers","1,225","78,000","73,800"
"41301 Therapists in counselling and related specialized therapies","350","61,200","52,000"
"41302 Religious leaders","500","47,200","47,000"
"4131 Police investigators and probation officers","65","75,500","76,000"
"41310 Police investigators and other investigative occupations","0","0","0"
"41311 Probation and parole officers","60","74,500","68,000"
"4132 Educational and employment counsellors","570","72,000","72,000"
"41320 Educational counsellors","405","90,000","80,400"
"41321 Career development practitioners and career counsellors (except education)","165","57,600","51,600"
"414 Professional occupations in government services","2,335","70,000","66,900"
"4140 Policy and program researchers, consultants and officers","2,335","70,000","66,900"
"41400 Natural and applied science policy researchers, consultants and program officers","390","83,000","77,200"
"41401 Economists and economic policy researchers and analysts","140","81,000","84,000"
"41402 Business development officers and market researchers and analysts","430","70,500","72,400"
"41403 Social policy researchers, consultants and program officers","435","62,400","63,600"
"41404 Health policy researchers, consultants and program officers","275","74,500","64,000"
"41405 Education policy researchers, consultants and program officers","340","73,500","67,200"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","130","39,200","40,000"
"41407 Program officers unique to government","140","47,600","49,000"
"41409 Other professional occupations in social science","60","60,000","52,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","5,900","40,000","51,160"
"421 Occupations in front-line public protection services","1,320","108,000","104,900"
"4210 Occupations in front-line public protection services","1,320","108,000","104,900"
"42100 Police officers (except commissioned)","920","114,000","108,200"
"42101 Firefighters","380","103,000","98,400"
"42102 Specialized members of the Canadian Armed Forces","20","0","80,000"
"422 Paraprofessional occupations in legal, social, community and education services","4,580","31,600","35,680"
"4220 Paraprofessional occupations in legal, social, community and education services","4,580","31,600","35,680"
"42200 Paralegals and related occupations","140","45,600","45,000"
"42201 Social and community service workers","2,390","47,600","45,080"
"42202 Early childhood educators and assistants","1,895","22,000","22,980"
"42203 Instructors of persons with disabilities","125","37,600","39,000"
"42204 Religion workers","25","0","26,000"
"43 Assisting occupations in education and in legal and public protection","2,665","31,000","40,080"
"431 Assisting occupations in educational","1,520","23,600","24,240"
"4310 Assisting occupations in education","1,520","23,600","24,240"
"43100 Elementary and secondary school teacher assistants","1,180","26,800","26,000"
"43109 Other instructors","335","6,700","18,200"
"432 Assisting occupations in legal and public protection","1,145","66,500","61,100"
"4320 Assisting occupations in legal and public protection","1,145","66,500","61,100"
"43200 Sheriffs and bailiffs","85","61,600","64,000"
"43201 Correctional service officers","370","75,000","66,000"
"43202 By-law enforcement and other regulatory officers","105","71,000","63,000"
"43203 Border services, customs, and immigration officers","75","85,000","78,000"
"43204 Operations members of the Canadian Armed Forces","510","57,600","54,000"
"44 Care providers and legal and public protection support occupations","8,345","18,800","21,860"
"441 Home care provider occupations","8,150","18,800","21,820"
"4410 Home care provider occupations","8,150","18,800","21,820"
"44100 Home child care providers","655","8,300","17,360"
"44101 Home support workers, caregivers and related occupations","7,500","19,800","22,220"
"442 Primary combat members of the Canadian Armed Forces","200","21,400","23,600"
"4420 Primary combat members of the Canadian Armed Forces","200","21,400","23,600"
"44200 Primary combat members of the Canadian Armed Forces","200","21,400","23,600"
"45 Student monitors, crossing guards and related occupations","35","24,600","32,000"
"451 Student monitors, crossing guards and related occupations","35","24,600","32,000"
"4510 Student monitors, crossing guards and related occupations","35","24,600","32,000"
"45100 Student monitors, crossing guards and related occupations","35","24,600","32,000"
"5 Occupations in art, culture, recreation and sport","4,960","14,200","29,040"
"50 Specialized middle management occupations in art, culture, recreation and sport","365","39,600","47,000"
"500 Specialized middle management occupations in art, culture, recreation and sport","365","39,600","47,000"
"5001 Managers in art, culture, recreation and sport","365","39,600","47,000"
"50010 Library, archive, museum and art gallery managers","75","36,800","42,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","45","69,500","62,000"
"50012 Recreation, sports and fitness program and service directors","240","40,000","45,200"
"51 Professional occupations in art and culture","1,200","25,600","40,100"
"511 Professional occupations in art and culture","1,200","25,600","40,100"
"5110 Librarians, archivists, conservators and curators","145","65,000","63,000"
