"occupation","employment","median.income","mean.income","geography"
"53120 Dancers",8535,7450,14480,"Canada"
"53121 Actors, comedians and circus performers",13970,7600,21500,"Canada"
"53122 Painters, sculptors and other visual artists",14975,6040,16020,"Canada"
"53123 Theatre, fashion, exhibit and other creative designers",12195,29600,39920,"Canada"
"53124 Artisans and craftspersons",14120,9300,17980,"Canada"
"53125 Patternmakers - textile, leather and fur products",635,34000,35800,"Canada"
"532 Occupations in sports",18500,17600,43440,"Canada"
"5320 Athletes, coaches, referees and related occupations",18500,17600,43440,"Canada"
"53200 Athletes",2800,17200,98400,"Canada"
"53201 Coaches",13940,21200,35480,"Canada"
"53202 Sports officials and referees",1760,3680,18940,"Canada"
"54 Support occupations in sport",99150,6650,14720,"Canada"
"541 Support occupations in sport",99150,6650,14720,"Canada"
"5410 Program leaders and instructors in recreation, sport and fitness",99150,6650,14720,"Canada"
"54100 Program leaders and instructors in recreation, sport and fitness",99150,6650,14720,"Canada"
"55 Support occupations in art and culture",3540,8900,25500,"Canada"
"551 Support occupations in art and culture",3540,8900,25500,"Canada"
"5510 Support occupations in art and culture",3540,8900,25500,"Canada"
"55109 Other performers",3540,8900,25500,"Canada"
"6 Sales and service occupations",4511690,21800,34040,"Canada"
"60 Middle management occupations in retail and wholesale trade and customer services",643530,48800,63750,"Canada"
"600 Middle management occupations in retail and wholesale trade and customer services",643530,48800,63750,"Canada"
"6001 Corporate sales managers",76935,97000,113600,"Canada"
"60010 Corporate sales managers",76935,97000,113600,"Canada"
"6002 Retail and wholesale trade managers",377880,50400,64700,"Canada"
"60020 Retail and wholesale trade managers",377880,50400,64700,"Canada"
"6003 Managers in food service and accommodation",163895,34000,41720,"Canada"
"60030 Restaurant and food service managers",138395,33200,40280,"Canada"
"60031 Accommodation service managers",25505,40000,49600,"Canada"
"6004 Managers in customer and personal services",24825,31000,40800,"Canada"
"60040 Managers in customer and personal services",24825,31000,40800,"Canada"
"62 Retail sales and service supervisors and specialized occupations in sales and services",331705,35600,47480,"Canada"
"620 Retail sales and service supervisors",175510,33200,38560,"Canada"
"6201 Retail sales supervisors",61520,33600,38760,"Canada"
"62010 Retail sales supervisors",61520,33600,38760,"Canada"
