"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"42100 Police officers (except commissioned)","1,475","106,000","99,700"
"42101 Firefighters","665","98,000","91,600"
"42102 Specialized members of the Canadian Armed Forces","110","66,500","61,000"
"422 Paraprofessional occupations in legal, social, community and education services","8,985","26,600","28,320"
"4220 Paraprofessional occupations in legal, social, community and education services","8,985","26,600","28,320"
"42200 Paralegals and related occupations","265","40,000","40,800"
"42201 Social and community service workers","3,485","32,800","33,720"
"42202 Early childhood educators and assistants","4,640","22,400","23,180"
"42203 Instructors of persons with disabilities","455","29,000","32,600"
"42204 Religion workers","140","21,800","26,400"
"43 Assisting occupations in education and in legal and public protection","8,810","35,200","47,400"
"431 Assisting occupations in educational","4,570","33,200","28,640"
"4310 Assisting occupations in education","4,570","33,200","28,640"
"43100 Elementary and secondary school teacher assistants","4,240","33,200","29,240"
"43109 Other instructors","330","14,800","20,800"
"432 Assisting occupations in legal and public protection","4,245","66,500","67,600"
"4320 Assisting occupations in legal and public protection","4,245","66,500","67,600"
"43200 Sheriffs and bailiffs","190","50,800","45,600"
"43201 Correctional service officers","1,015","78,000","74,400"
"43202 By-law enforcement and other regulatory officers","170","53,200","50,400"
"43203 Border services, customs, and immigration officers","360","96,000","88,400"
"43204 Operations members of the Canadian Armed Forces","2,505","66,000","64,700"
"44 Care providers and legal and public protection support occupations","4,270","22,800","27,000"
"441 Home care provider occupations","3,380","17,000","20,000"
"4410 Home care provider occupations","3,380","17,000","20,000"
"44100 Home child care providers","930","8,300","13,040"
"44101 Home support workers, caregivers and related occupations","2,450","21,600","22,660"
"442 Primary combat members of the Canadian Armed Forces","890","56,000","53,500"
"4420 Primary combat members of the Canadian Armed Forces","890","56,000","53,500"
"44200 Primary combat members of the Canadian Armed Forces","890","56,000","53,500"
"45 Student monitors, crossing guards and related occupations","210","7,200","13,100"
"451 Student monitors, crossing guards and related occupations","210","7,200","13,100"
"4510 Student monitors, crossing guards and related occupations","210","7,200","13,100"
"45100 Student monitors, crossing guards and related occupations","210","7,200","13,100"
"5 Occupations in art, culture, recreation and sport","7,665","19,000","31,280"
"50 Specialized middle management occupations in art, culture, recreation and sport","500","42,800","48,600"
"500 Specialized middle management occupations in art, culture, recreation and sport","500","42,800","48,600"
"5001 Managers in art, culture, recreation and sport","500","42,800","48,600"
"50010 Library, archive, museum and art gallery managers","165","46,000","45,600"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","70","42,000","54,000"
"50012 Recreation, sports and fitness program and service directors","275","41,200","49,200"
"51 Professional occupations in art and culture","2,005","34,800","41,440"
